algorithm,n,seed,found_solution,time_milliseconds,nodes_explored
backtracking,4,0,True,0.034922,4
backtracking,4,1,True,0.048523,12
backtracking,4,2,True,0.015137,4
backtracking,4,3,True,0.043492,12
backtracking,4,4,True,0.013415,4
backtracking,4,5,True,0.031618,8
backtracking,4,6,True,0.02847,8
backtracking,4,7,True,0.122338,8
backtracking,4,8,True,0.02961,8
backtracking,4,9,True,0.02938,8
backtracking,4,10,True,0.027454,8
backtracking,4,11,True,0.027356,8
backtracking,4,12,True,0.027828,8
backtracking,4,13,True,0.041772,12
backtracking,4,14,True,0.017317,4
backtracking,4,15,True,0.030303,8
backtracking,4,16,True,0.039835,12
backtracking,4,17,True,0.030892,8
backtracking,4,18,True,0.014555,4
backtracking,4,19,True,0.013771,4
backtracking,4,20,True,0.012667,4
backtracking,4,21,True,0.029597,8
backtracking,4,22,True,0.028411,8
backtracking,4,23,True,0.013954,4
backtracking,4,24,True,0.015539,4
backtracking,4,25,True,0.016933,4
backtracking,4,26,True,0.044969,12
backtracking,4,27,True,0.027001,8
backtracking,4,28,True,0.014495,4
backtracking,4,29,True,0.027568,8
backtracking,8,0,True,0.088978,13
backtracking,8,1,True,0.045233,8
backtracking,8,2,True,0.137021,20
backtracking,8,3,True,0.499512,66
backtracking,8,4,True,0.350157,49
backtracking,8,5,True,0.110365,17
backtracking,8,6,True,0.188186,16
backtracking,8,7,True,0.18843,28
backtracking,8,8,True,0.039959,8
backtracking,8,9,True,0.107252,16
backtracking,8,10,True,0.151337,20
backtracking,8,11,True,0.170752,26
backtracking,8,12,True,0.094138,15
backtracking,8,13,True,0.123806,18
backtracking,8,14,True,0.05868,11
backtracking,8,15,True,0.423041,61
backtracking,8,16,True,0.131098,16
backtracking,8,17,True,0.072987,11
backtracking,8,18,True,0.143209,12
backtracking,8,19,True,0.075849,13
backtracking,8,20,True,0.236042,34
backtracking,8,21,True,0.096768,15
backtracking,8,22,True,0.064688,11
backtracking,8,23,True,0.29926,37
backtracking,8,24,True,0.149283,22
backtracking,8,25,True,0.054824,10
backtracking,8,26,True,0.259451,37
backtracking,8,27,True,0.075705,12
backtracking,8,28,True,0.03865,8
backtracking,8,29,True,0.057488,10
backtracking,10,0,True,4.329757,449
backtracking,10,1,True,0.168221,20
backtracking,10,2,True,1.278456,129
backtracking,10,3,True,0.564826,60
backtracking,10,4,True,1.803233,185
backtracking,10,5,True,0.433954,48
backtracking,10,6,True,0.344997,36
backtracking,10,7,True,0.105513,13
backtracking,10,8,True,0.195642,21
backtracking,10,9,True,0.058931,10
backtracking,10,10,True,0.163955,21
backtracking,10,11,True,0.580726,61
backtracking,10,12,True,1.614716,168
backtracking,10,13,True,0.893428,93
backtracking,10,14,True,0.059643,10
backtracking,10,15,True,0.535945,55
backtracking,10,16,True,0.314392,25
backtracking,10,17,True,0.514954,53
backtracking,10,18,True,1.25706,128
backtracking,10,19,True,1.967763,203
backtracking,10,20,True,0.264365,29
backtracking,10,21,True,0.408943,45
backtracking,10,22,True,0.108216,14
backtracking,10,23,True,1.89796,195
backtracking,10,24,True,0.061491,10
backtracking,10,25,True,0.092422,13
backtracking,10,26,True,0.378895,41
backtracking,10,27,True,0.078463,11
backtracking,10,28,True,0.064823,10
backtracking,10,29,True,0.064579,10
forward_checking,4,0,True,0.05265,4
forward_checking,4,1,True,0.077298,12
forward_checking,4,2,True,0.025613,4
forward_checking,4,3,True,0.086223,12
forward_checking,4,4,True,0.142089,4
forward_checking,4,5,True,0.038085,8
forward_checking,4,6,True,0.036123,8
forward_checking,4,7,True,0.034759,8
forward_checking,4,8,True,0.0349,8
forward_checking,4,9,True,0.036506,8
forward_checking,4,10,True,0.033842,8
forward_checking,4,11,True,0.036317,8
forward_checking,4,12,True,0.033011,8
forward_checking,4,13,True,0.047665,12
forward_checking,4,14,True,0.025765,4
forward_checking,4,15,True,0.042341,8
forward_checking,4,16,True,0.103872,12
forward_checking,4,17,True,0.064078,8
forward_checking,4,18,True,0.046419,4
forward_checking,4,19,True,0.036692,4
forward_checking,4,20,True,0.041145,4
forward_checking,4,21,True,0.061548,8
forward_checking,4,22,True,0.06619,8
forward_checking,4,23,True,0.036746,4
forward_checking,4,24,True,0.036385,4
forward_checking,4,25,True,0.038886,4
forward_checking,4,26,True,0.085885,12
forward_checking,4,27,True,0.064361,8
forward_checking,4,28,True,0.038402,4
forward_checking,4,29,True,0.073573,8
forward_checking,8,0,True,0.250384,16
forward_checking,8,1,True,0.18535,13
forward_checking,8,2,True,0.159769,12
forward_checking,8,3,True,0.721337,68
forward_checking,8,4,True,0.197177,15
forward_checking,8,5,True,0.29613,8
forward_checking,8,6,True,0.171249,9
forward_checking,8,7,True,0.186315,16
forward_checking,8,8,True,0.126395,8
forward_checking,8,9,True,0.180022,15
forward_checking,8,10,True,0.134886,8
forward_checking,8,11,True,0.176231,14
forward_checking,8,12,True,0.155434,8
forward_checking,8,13,True,0.17875,13
forward_checking,8,14,True,0.239789,18
forward_checking,8,15,True,0.524055,43
forward_checking,8,16,True,0.383667,36
forward_checking,8,17,True,0.144518,12
forward_checking,8,18,True,0.203546,14
forward_checking,8,19,True,0.329772,28
forward_checking,8,20,True,0.221622,23
forward_checking,8,21,True,0.080291,8
forward_checking,8,22,True,0.128103,8
forward_checking,8,23,True,0.211212,12
forward_checking,8,24,True,0.156247,10
forward_checking,8,25,True,0.186612,16
forward_checking,8,26,True,0.126281,19
forward_checking,8,27,True,0.074095,8
forward_checking,8,28,True,0.09133,12
forward_checking,8,29,True,0.072091,8
forward_checking,10,0,True,1.968642,301
forward_checking,10,1,True,0.161596,13
forward_checking,10,2,True,0.391168,58
forward_checking,10,3,True,0.300779,11
forward_checking,10,4,True,0.354265,52
forward_checking,10,5,True,0.363728,58
forward_checking,10,6,True,0.185403,23
forward_checking,10,7,True,0.125909,14
forward_checking,10,8,True,0.37375,27
forward_checking,10,9,True,0.870509,60
forward_checking,10,10,True,0.208925,11
forward_checking,10,11,True,0.306088,21
forward_checking,10,12,True,0.735913,62
forward_checking,10,13,True,0.227554,29
forward_checking,10,14,True,0.410075,47
forward_checking,10,15,True,0.351642,15
forward_checking,10,16,True,0.787975,50
forward_checking,10,17,True,0.901341,56
forward_checking,10,18,True,0.285788,12
forward_checking,10,19,True,0.726875,35
forward_checking,10,20,True,0.345212,16
forward_checking,10,21,True,0.267084,12
forward_checking,10,22,True,0.321334,22
forward_checking,10,23,True,0.372716,20
forward_checking,10,24,True,0.661841,57
forward_checking,10,25,True,1.257913,103
forward_checking,10,26,True,3.000598,402
forward_checking,10,27,True,0.218022,19
forward_checking,10,28,True,0.511276,63
forward_checking,10,29,True,0.637136,41
